,ProfileName,Text
25473,gunner,"['diamond', 'almondsbr', 'almond', 'good', 'source', 'magnesium', 'ounce', 'contain', 'approximately', 'adult', 'recommended', 'dietary', 'allowance', 'rdabr', 'recommended', 'dietary', 'allowance', 'amount', 'selected', 'nutrient', 'considered', 'adequate', 'meet', 'known', 'nutrient', 'need', 'healthy', 'people', 'based', 'scientific', 'knowledge', 'presented', 'committee', 'food', 'nutrition', 'board', 'national', 'academy', 'science', 'canadian', 'equivalent', 'recommended', 'nutrient', 'intake', 'generally', 'accepted', 'throughout', 'world', 'valid', 'source', 'information', 'least', 'different', 'nation', 'well', 'organization', 'published', 'standard', 'similar', 'rdabr', 'magnesium', 'fourth', 'abundant', 'mineral', 'body', 'essential', 'good', 'health', 'approximately', 'total', 'body', 'magnesium', 'found', 'bone', 'half', 'found', 'predominantly', 'inside', 'cell', 'body', 'tissue', 'organ', 'magnesium', 'found', 'blood', 'body', 'work', 'hard', 'keep', 'blood', 'level', 'magnesium', 'constantbr', 'magnesium', 'needed', 'biochemical', 'reaction', 'body', 'help', 'maintain', 'normal', 'muscle', 'nerve', 'function', 'keep', 'heart', 'rhythm', 'steady', 'support', 'healthy', 'immune', 'system', 'keep', 'bone', 'strong', 'magnesium', 'also', 'help', 'regulate', 'blood', 'sugar', 'level', 'promotes', 'normal', 'blood', 'pressure', 'known', 'involved', 'energy', 'metabolism', 'protein', 'synthesis', 'increased', 'interest', 'role', 'magnesium', 'preventing', 'managing', 'disorder', 'hypertension', 'cardiovascular', 'disease', 'diabetes', 'dietary', 'magnesium', 'absorbed', 'small', 'intestine', 'taking', 'enough', 'magnesium', 'diet', 'recommended', 'daily', 'allowance', '300mgsday', '350mgs', 'woman', 'magnesium', 'extremely', 'safe', 'mouth', 'much', 'simply', 'cause', 'diarrhea', 'increasing', 'amount', 'magnesium', 'take', 'mouth', 'cause', 'diarrhea', 'reduce', 'dose', 'slightly', 'doe', 'called', 'taking', 'magnesium', 'bowel', 'tolerance', 'like', 'using', 'vitamin', 'bowel', 'tolerancebr', 'almond', 'good', 'source', 'fiberbr', 'ounce', 'contains', 'approximately', 'adultbr', 'summary', 'almond', 'healthy', 'snack', 'whats', 'left', 'saybr', 'thingsbr', 'cautious', 'bowel', 'tolerance', 'happy', 'bowel', 'preferbr', 'taste', 'realize', 'taste', 'personal', 'thing', 'thats', 'make', 'chocolate', 'strawberry', 'vanillabr', 'current', 'favoritesbr', 'blue', 'diamond', 'dark', 'mint', 'dark', 'chocolate', 'reminds', 'chocolate', 'mint', 'girl', 'scout', 'cooky', 'le', 'sugarbr', 'blue', 'diamond', 'dark', 'chocolate', 'oven', 'roastedbr', 'blue', 'diamond', 'blue', 'butter', 'toffeebr', '4thd', 'blue', 'diamond', 'almond', 'bold', 'habanero', 'reminds', 'potato', 'chip', 'le', 'sugarbr', 'bold', 'blazin', 'buffalo', 'wingbr', 'blue', 'diamond', 'almond', 'cinnamon', 'brown', 'sugarbr', 'blue', 'diamond', 'almond', 'lime', 'chilibr', 'blue', 'diamond', 'almond', 'smokehousebr', 'bold', 'wasabi', 'saucebr', 'thats', 'might', 'completely', 'different', 'take', 'flavorsbr', 'closebr', 'gunnerbr', '2012']"
25474,gunner,"['almond', 'good', 'source', 'magnesium', 'ounce', 'contain', 'approximately', 'adult', 'recommended', 'dietary', 'allowance', 'rdabr', 'recommended', 'dietary', 'allowance', 'amount', 'selected', 'nutrient', 'considered', 'adequate', 'meet', 'known', 'nutrient', 'need', 'healthy', 'people', 'based', 'scientific', 'knowledge', 'presented', 'committee', 'food', 'nutrition', 'board', 'national', 'academy', 'science', 'canadian', 'equivalent', 'recommended', 'nutrient', 'intake', 'generally', 'accepted', 'throughout', 'world', 'valid', 'source', 'information', 'least', 'different', 'nation', 'well', 'organization', 'published', 'standard', 'similar', 'rdabr', 'magnesium', 'fourth', 'abundant', 'mineral', 'body', 'essential', 'good', 'health', 'approximately', 'total', 'body', 'magnesium', 'found', 'bone', 'half', 'found', 'predominantly', 'inside', 'cell', 'body', 'tissue', 'organ', 'magnesium', 'found', 'blood', 'body', 'work', 'hard', 'keep', 'blood', 'level', 'magnesium', 'constantbr', 'magnesium', 'needed', 'biochemical', 'reaction', 'body', 'help', 'maintain', 'normal', 'muscle', 'nerve', 'function', 'keep', 'heart', 'rhythm', 'steady', 'support', 'healthy', 'immune', 'system', 'keep', 'bone', 'strong', 'magnesium', 'also', 'help', 'regulate', 'blood', 'sugar', 'level', 'promotes', 'normal', 'blood', 'pressure', 'known', 'involved', 'energy', 'metabolism', 'protein', 'synthesis', 'increased', 'interest', 'role', 'magnesium', 'preventing', 'managing', 'disorder', 'hypertension', 'cardiovascular', 'disease', 'diabetes', 'dietary', 'magnesium', 'absorbed', 'small', 'intestine', 'taking', 'enough', 'magnesium', 'diet', 'recommended', 'daily', 'allowance', '300mgsday', '350mgs', 'woman', 'magnesium', 'extremely', 'safe', 'mouth', 'much', 'simply', 'cause', 'diarrhea', 'increasing', 'amount', 'magnesium', 'take', 'mouth', 'cause', 'diarrhea', 'reduce', 'dose', 'slightly', 'doe', 'called', 'taking', 'magnesium', 'bowel', 'tolerance', 'like', 'using', 'vitamin', 'bowel', 'tolerancebr', 'almond', 'good', 'source', 'fiberbr', 'ounce', 'contains', 'approximately', 'adultbr', 'summary', 'almond', 'healthy', 'snack', 'whats', 'left', 'saybr', 'thingsbr', 'cautious', 'bowel', 'tolerance', 'happy', 'bowel', 'preferbr', 'taste', 'realize', 'taste', 'personal', 'thing', 'thats', 'make', 'chocolate', 'strawberry', 'vanillabr', 'current', 'favoritesbr', 'blue', 'diamond', 'dark', 'mint', 'dark', 'chocolate', 'reminds', 'chocolate', 'mint', 'girl', 'scout', 'cooky', 'le', 'sugarbr', 'blue', 'diamond', 'blue', 'diamond', 'dark', 'chocolate', 'oven', 'roastedbr', 'blue', 'diamond', 'almond', 'bold', 'habanero', 'reminds', 'potato', 'chip', 'le', 'sugarbr', 'blue', 'diamond', 'almond', 'cinnamon', 'brown', 'sugarbr', 'blue', 'diamond', 'almond', 'lime', 'chilibr', 'thats', 'might', 'completely', 'different', 'take', 'flavor', 'intend', 'sample', 'year', 'making', 'update', 'review', 'closebr', 'gunner', 'march', '2012']"
25495,gunner,"['diamond', 'almondsbr', 'almond', 'good', 'source', 'magnesium', 'ounce', 'contain', 'approximately', 'adult', 'recommended', 'dietary', 'allowance', 'rdabr', 'recommended', 'dietary', 'allowance', 'amount', 'selected', 'nutrient', 'considered', 'adequate', 'meet', 'known', 'nutrient', 'need', 'healthy', 'people', 'based', 'scientific', 'knowledge', 'presented', 'committee', 'food', 'nutrition', 'board', 'national', 'academy', 'science', 'canadian', 'equivalent', 'recommended', 'nutrient', 'intake', 'generally', 'accepted', 'throughout', 'world', 'valid', 'source', 'information', 'least', 'different', 'nation', 'well', 'organization', 'published', 'standard', 'similar', 'rdabr', 'magnesium', 'fourth', 'abundant', 'mineral', 'body', 'essential', 'good', 'health', 'approximately', 'total', 'body', 'magnesium', 'found', 'bone', 'half', 'found', 'predominantly', 'inside', 'cell', 'body', 'tissue', 'organ', 'magnesium', 'found', 'blood', 'body', 'work', 'hard', 'keep', 'blood', 'level', 'magnesium', 'constantbr', 'magnesium', 'needed', 'biochemical', 'reaction', 'body', 'help', 'maintain', 'normal', 'muscle', 'nerve', 'function', 'keep', 'heart', 'rhythm', 'steady', 'support', 'healthy', 'immune', 'system', 'keep', 'bone', 'strong', 'magnesium', 'also', 'help', 'regulate', 'blood', 'sugar', 'level', 'promotes', 'normal', 'blood', 'pressure', 'known', 'involved', 'energy', 'metabolism', 'protein', 'synthesis', 'increased', 'interest', 'role', 'magnesium', 'preventing', 'managing', 'disorder', 'hypertension', 'cardiovascular', 'disease', 'diabetes', 'dietary', 'magnesium', 'absorbed', 'small', 'intestine', 'taking', 'enough', 'magnesium', 'diet', 'recommended', 'daily', 'allowance', '300mgsday', '350mgs', 'woman', 'magnesium', 'extremely', 'safe', 'mouth', 'much', 'simply', 'cause', 'diarrhea', 'increasing', 'amount', 'magnesium', 'take', 'mouth', 'cause', 'diarrhea', 'reduce', 'dose', 'slightly', 'doe', 'called', 'taking', 'magnesium', 'bowel', 'tolerance', 'like', 'using', 'vitamin', 'bowel', 'tolerancebr', 'almond', 'good', 'source', 'fiberbr', 'ounce', 'contains', 'approximately', 'adultbr', 'summary', 'almond', 'healthy', 'snack', 'whats', 'left', 'saybr', 'thingsbr', 'cautious', 'bowel', 'tolerance', 'happy', 'bowel', 'preferbr', 'taste', 'realize', 'taste', 'personal', 'thing', 'thats', 'make', 'chocolate', 'strawberry', 'vanillabr', 'current', 'favoritesbr', 'blue', 'diamond', 'dark', 'mint', 'dark', 'chocolate', 'reminds', 'chocolate', 'mint', 'girl', 'scout', 'cooky', 'le', 'sugarbr', 'blue', 'diamond', 'dark', 'chocolate', 'oven', 'roastedbr', 'blue', 'diamond', 'blue', 'butter', 'toffeebr', '4thd', 'blue', 'diamond', 'almond', 'bold', 'habanero', 'reminds', 'potato', 'chip', 'le', 'sugarbr', 'bold', 'blazin', 'buffalo', 'wingbr', 'blue', 'diamond', 'almond', 'cinnamon', 'brown', 'sugarbr', 'blue', 'diamond', 'almond', 'lime', 'chilibr', 'blue', 'diamond', 'almond', 'smokehousebr', 'bold', 'wasabi', 'saucebr', 'thats', 'might', 'completely', 'different', 'take', 'flavorsbr', 'closebr', 'gunnerbr', '2012']"
25556,jen,"['like', 'candy', 'much', 'purchase', 'regular', 'basis', 'keep', 'candy', 'dish', 'desk', 'well', 'like', 'everyone', 'people', 'return', 'office', 'visit', 'take', 'thank']"
25578,jessica,"['catnip', 'anything', 'love', 'cosmic', 'catnip', 'little', 'difficult', 'find', 'store', 'amazon', 'always', 'sale', 'online', 'packing', 'great', 'shipped', 'quickly', 'would', 'recommend', 'everyone']"
25680,linda,"['looking', 'alternative', 'healthy', 'protein', 'snack', 'le', 'slim', 'jims', 'texas', 'sounded', 'like', 'awesome', 'flavorso', 'bought', 'never', 'tried', 'thempick', 'rubber', 'band', 'baste', 'sauce', 'protein', 'jerky', 'taste', 'likea', 'flavored', 'rubber', 'band', 'ever', 'world', 'longer', 'protein', 'choice', 'available']"
25701,david,"['tried', 'every', 'vegan', 'jerky', 'item', 'market', 'excited', 'find', 'completely', 'glutenbased', 'offering', 'reasonable', 'proteintocalories', 'ratio', 'reasonable', 'priceperounce', 'plus', 'great', 'review', 'boot', 'product', 'discovered', 'great', 'chagrin', 'requires', 'refrigeration', 'opening', 'doe', 'face', 'jerky', 'supposed', 'disclosed', 'anywhere', 'amazon', 'product', 'description', 'ouch', 'much', 'taking', 'package', 'trail', 'anywhere', 'else', 'matterbr', 'also', 'aware', 'product', 'unlike', 'several', 'competitive', 'vegan', 'jerky', 'product', 'made', 'taiwan', 'could', 'mean', 'us', 'chinese', 'gluten', 'thats', 'source', 'personally', 'avoid', 'significant', 'food', 'safety', 'issue', 'past', 'however', 'contacted', 'manufacturer', 'told', 'gluten', 'imported', 'either', 'australia', 'western', 'europe', 'usamost', 'ingredient', 'source', 'manufacture', 'taiwan', 'way', 'cooking', 'wheat', 'gluten', 'found', 'westbr', 'said', 'taste', 'pretty', 'good', 'packaging', 'give', 'softer', 'texture', 'competitive', 'product', 'personally', 'still', 'prefer']"
25763,anonymous,"['vegetarian', 'trouble', 'finding', 'decent', 'jerky', 'decided', 'texas', 'flavor', 'like', 'fact', 'meaty', 'texture', 'hard', 'leather', 'texture', 'tend', 'avoid', 'jerky', 'hard', 'enough', 'floss', 'teeth', 'avoid', 'irritation', 'gum', 'thats', 'true', 'meat', 'besides', 'texture', 'also', 'tasted', 'like', 'meat', 'however', 'also', 'tasted', 'like', 'someone', 'trying', 'make', 'flavored', 'candy', 'sweet', 'overall', 'taste', 'go', 'nut', 'though', 'theyre', 'completely', 'wasted']"
25858,karen,"['mother', 'restricted', 'sodium', 'potassium', 'diet', 'seasoning', 'doe', 'salty', 'flavor', 'added', 'quality', 'taste', 'bland', 'diet', 'eating', 'egg', 'certain', 'food', 'without', 'salt', 'palatable', 'tried', 'seasoning', 'pleased', 'salty', 'flavor', 'really', 'enjoys', 'take', 'hospital', 'season', 'meal', 'probably', 'pound', 'next', 'time', 'five', 'star', 'product']"
26015,david,"['honey', 'dijon', 'flavor', 'okay', 'flavor', 'girlfriend', 'thought', 'left', 'aftertaste', 'aftertaste', 'sort', 'like', 'cheese', 'presumably', 'folk', 'like', 'fancy', 'cheese', 'eater', 'lingers', 'least', 'hour', 'give', 'flavor', 'rating', 'star', 'also', 'tried', 'cheddar', 'flavor', 'star', 'liked', 'better', 'didnt', 'leave', 'longlingering', 'aftertastebr', 'give', 'consistency', 'chip', 'star', 'chip', 'crunchy', 'also', 'greasy', 'enough', 'keep', 'napkin', 'near', 'wash', 'hand', 'eating', 'kettle', 'chip']"
26026,lynrie oh hell no,"['read', 'review', 'ranged', 'splendid', 'awful', 'took', 'plunge', 'like', 'salty', 'tangy', 'flavor', 'never', 'took', 'leap', 'ordered', 'case', 'super', 'price', 'arrived', 'quickly', 'great', 'shape', 'sell', 'date', '2011', 'middle', 'chip', 'something', 'cant', 'live', 'without', 'love', 'crunch', 'color', 'trans', 'little', 'vinegary', 'taste', 'coming', 'grew', 'eating', 'pickled', 'hardboiled', 'egg', 'pickled', 'pig', 'feetbr', 'havent', 'tried', 'deli', 'sandwich', 'cold', 'beer', 'might', 'improve', 'experience']"
26130,linda,"['dont', 'waste', 'money', 'kettle', 'brand', 'potato', 'chip', 'bought', 'case', 'case', 'cheddar', 'sour', 'cream', 'case', 'ended', 'garbage']"
26212,chris,"['kettle', 'chip', 'taste', 'good', 'crispy', 'crunchy', 'enjoy', 'also', 'moreoverits', 'thinly', 'sliced']"
26276,mary,"['truly', 'awesomei', 'found', 'item', 'better', 'purchased', 'local', 'supermarket', 'thank', 'amazon']"
26310,gary peterson,"['wife', 'lived', 'london', 'three', 'year', 'developed', 'variety', 'british', 'taste', 'item', 'rice', 'pudding', 'creamed', 'rice', 'long', 'spotted', 'ambrosia', 'creamed', 'rice', '15ounce', 'shelf', 'local', 'fresh', 'easy', 'store', 'british', 'company', 'well', 'itbr', 'creamed', 'rice', 'rather', 'bland', 'taste', 'perhaps', 'meant', 'certain', 'type', 'food', 'sodium', 'particularly', 'high', 'calorie', 'dont', 'feel', 'guilty', 'alli', 'prefer', 'chilled', 'smooth', 'creamy', 'judge', 'good', 'product', 'might', 'take', 'develop', 'taste', 'right', 'moment', 'find', 'overly', 'blandbr', 'gary', 'peterson']"
26312,rebecca of amazon the rebecca review,"['juice', 'apparently', 'person', 'love', 'drink', 'leading', 'orange', 'carbonated', 'soft', 'drink', 'france', 'love', 'drink', 'nottoosweet', 'flavor', 'carbonated', 'juice', 'like', 'super', 'sweet', 'orange', 'drink', 'normally', 'carbonated', 'like', 'carbonated', 'water', 'splash', 'real', 'orange', 'juice', 'flavorbr', 'think', 'first', 'tasted', 'juice', 'cafeacute', 'next', 'moulin', 'rouge', 'paris', 'least', 'remember', 'lunch', 'stepping', 'tour', 'anyway', 'imagine', 'surprise', 'found', 'also', 'sold', 'local', 'shop', 'grocery', 'store', 'amazonbr', 'deliciously', 'light', 'taste', 'overly', 'sweet', 'perfect', 'picnic', 'partiesbr', 'rebecca', 'review']"
26315,sarah,"['like', 'another', 'reviewer', 'fell', 'love', 'beverage', 'france', 'overjoyed', 'month', 'return', 'found', 'available', 'expensive', 'grocery', 'store', 'near', 'unfortunately', 'kind', 'orangina', 'sold', 'beverage', 'available', 'europe', 'ingredient', 'totally', 'different', 'since', 'product', 'page', 'say', 'made', 'assume', 'american', 'recipe', 'tasty', 'probably', 'longer', 'shelf', 'life', 'thought', 'give', 'head', 'anyone', 'expecting', 'european', 'versionbr', 'miss', 'orangina']"
26607,jessica,"['buying', 'happy', 'belly', 'past', 'month', 'though', 'didnt', 'exclusively', 'also', 'tried', 'brand', 'bought', 'probably', 'unlike', 'reviewer', 'opened', 'seemingly', 'grayishgreenish', 'color', 'thought', 'weird', 'colorconsistencysmell', 'different', 'brand', 'since', 'quality', 'consistent', 'consistently', 'didnt', 'think', 'much', 'finally', 'look', 'normal', 'search', 'internet', 'realized', 'giving', 'baby', 'oatmeal', 'feel', 'hope', 'company', 'doe', 'something', 'investigates', 'issue', 'anyone', 'reported']"
26717,chris,"['best', 'peppercorn', 'money', 'know', 'weve', 'getting', 'year', 'easier', 'find', 'amazon']"
26719,rebecca of amazon the rebecca review,"['marmalade', 'elegant', 'sophisticated', 'mackays', 'orange', 'marmalade', 'preserve', 'champagne', 'meet', 'requirement', 'delicate', 'orange', 'peel', 'lingers', 'mercilessly', 'cane', 'sugar', 'lemon', 'juice', 'champagne', 'living', 'moment', 'spread', 'marmalade', 'toast', 'sconesbr', 'superior', 'marmalade', 'well', 'worth', 'ordering', 'necessary', 'order', 'four', 'time', 'breakfast', 'favorite', 'husband', 'keep', 'insisting', 'sharebr', 'rebecca', 'review']"
26747,mike,"['really', 'like', 'cereal', 'protein', 'enjoy', 'flavor']"
26996,o brown ms o khannahbrown,"['moroccan', 'mint', 'premium', 'numi', 'herbal', 'certified', 'organic', 'kosher', 'delicious', 'favorite', 'mint', 'teabr', 'manufacturer', 'say', 'better', 'ever', 'could', 'moroccan', 'spring', 'snow', 'melt', 'atlas', 'mountain', 'watering', 'plain', 'day', 'warm', 'soothing', 'refreshing', 'fullflavored', 'mint', 'flourish', 'ancient', 'land', 'berber', 'flavor', 'light', 'lively', 'newly', 'picked', 'leaf', 'choice', 'organic', 'mint', 'become', 'favorite', 'mint', 'teasan', 'allday', 'afterdinner', 'delight', 'wonder', 'moroccan', 'drink', 'cup', 'daybr', 'like', 'numi', 'tea', 'ityou', 'wont', 'sorry', 'numi', 'love', 'mint', 'tea', 'disappointbr', 'highly', 'recommendedbr']"
27035,david,"['every', 'time', 'introduced', 'rice', 'people', 'theyve', 'amazed', 'brown', 'rice', 'delicious', 'always', 'used', 'home', 'instead', 'white', 'rice', 'prepare', 'rice', 'cooker', 'white', 'rice', 'setting', 'say', 'touch', 'water', 'asked', 'make', 'softer', 'texture', 'preferbr', 'rice', 'come', 'lighter', 'color', 'brown', 'rice', 'used', 'time', 'little', 'unsalted', 'butter', 'mixed', 'chopped', 'green', 'onion', 'dress', 'never', 'gone', 'back', 'white', 'ricebr', 'find', 'rice', 'local', 'asian', 'marketbr', 'bottom', 'line', 'little', 'pricey', 'soooo', 'worth']"
27075,karen,"['bishonshitzu', 'puppy', 'love', 'dont', 'last', 'long', 'rawhide', 'like', 'treat', 'mini', 'size', 'perfect']"
27187,david,"['purchase', 'number', 'product', 'jack', 'link', 'generally', 'pleased', 'item', 'however', 'awful', 'mouldy', 'could']"
27329,rebecca of amazon the rebecca review,"['crystal', 'light', 'peach', 'iced', 'little', 'sweeter', 'flavor', 'like', 'raspberry', 'lemonade', 'mild', 'flavor', 'pleasant', 'overpowering', 'since', 'already', 'ton', 'bottled', 'water', 'costco', 'great', 'also', 'bottled', 'drink', 'crystal', 'light', 'packet', 'make', 'drinking', 'water', 'breeze', 'since', 'started', 'using', 'packet', 'keep', 'water', 'refrigerator', 'reading', 'shopping', 'also', 'love', 'make', 'slushies', 'drink', 'bottle', 'freezer', 'hour', 'shake', 'vigorously', 'flavor', 'addictive', 'much', 'variety', 'flavor', 'drink', 'really', 'make', 'life', 'little', 'funbr', 'rebecca', 'review']"
27439,mike,"['drink', 'tasted', 'pretty', 'good', 'like', 'liquid', 'white', 'chocolate', 'calorie', 'servingcan', 'want', 'pretty', 'serious', 'exercise', 'represents', 'typical', 'calorie', 'intake', 'also', 'contains', 'gram', 'saturated', 'cholesterol', 'might', 'need', 'consider', 'watching', 'intake', 'main', 'ingredient', 'water', 'sugar', 'protein', '20gbr', 'serious', 'training', 'compact', 'source', 'energy', 'keep', 'goingbr', 'dropped', 'star', 'saturated', 'cholesterol', 'high', 'calorie', 'content']"
27448,c f hill cfh,"['green', 'mountain', 'revv', 'make', 'good', 'tasting', 'coffee', 'doe', 'seem', 'kick', 'hrefhttpwwwamazoncomgpproductb0029xdzikcoffee', 'people', 'donut', 'shop', 'kcup', 'portion', 'pack', 'keurig', 'kcup', 'brewer', 'pack', 'normally', 'drink', 'morning', 'smooth', 'still', 'enjoyable', 'flavor', 'wake', 'upbr', 'hrefhttpwwwamazoncomgpproductb000aqsmpokeurig', 'special', 'edition', 'gourmet', 'singlecup', 'homebrewing', 'systema', 'large', 'settingbr', 'recommendedbr']"
27454,david,"['purchased', 'leak', 'couldnt', 'figure', 'happening', 'examining', 'cup', 'realized', 'foil', 'seal', 'sealed', 'properly', 'tearing', 'coffee', 'brewed', 'water', 'coffee', 'machine', 'counterbr', 'fluke', 'kcup', 'ever', 'leaked', 'never', 'purchase', 'back', 'fuel']"
27520,gary peterson,"['first', 'remember', 'martinellis', 'apple', 'juice', 'day', 'used', 'martinellis', 'sparkling', 'apple', 'juice', 'nonalcoholic', 'toast', 'thanksgiving', 'dinner', 'bright', 'fresh', 'tasting', 'delicious', 'recently', 'wife', 'bought', 'case', '10ounce', 'bottle', 'local', 'warehouse', 'store', 'found', 'toddler', 'loved', 'stuff', 'wife', 'wanted', 'pick', 'another', 'case', 'gone', 'hasnt', 'returned', 'gonna', 'well', 'available', 'size', 'today', 'came', 'home', 'couple', 'liter', 'bottle', 'handy', 'small', 'bottle', 'well', 'make', 'important', 'thing', 'juice', 'regard', 'bottle', 'important', 'free', 'thats', 'important', 'little', 'also', 'like', 'fruit', 'juice', 'pure', 'juice', 'especially', 'concentrate', 'added', 'ingredient', 'martinellis', 'apple', 'juice', 'fit', 'requirement', 'plus', 'deliciousbr', 'gary', 'peterson']"
27650,lisa,"['looking', 'forward', 'disapointment', 'stale', 'didnt', 'even', 'return', 'looked', 'lesson', 'learned', 'trust', 'first', 'food', 'item', 'ordered', 'line', 'first', 'stale', 'lesson', 'learned', 'dont', 'food', 'line', 'anymore']"
27788,jen,"['glad', 'purchased', 'cutting', 'board', 'glad', 'able', 'support', 'something', 'relatively', 'local', 'made', 'perfect', 'size', 'someone', 'cook', 'people', 'doesnt', 'take', 'much', 'space', 'cabinet', 'counter', 'cutting', 'also', 'good', 'looking', 'cutting', 'board']"
27801,linda,"['puppy', 'like', 'food', 'whole', 'journal', 'say', 'least', 'healthy', 'wont', 'getting']"
27859,karen,"['kong', 'brand', 'theyre', 'thing', 'bought', 'puppy', 'hasnt', 'managed', 'destroy', 'paste', 'inside', 'kongs', 'keep', 'busy', 'whenever', 'see', 'start', 'putting', 'smell', 'get', 'excited', 'tried', 'peanut', 'butter', 'made', 'super', 'hyper', 'never', 'find', 'better', 'alternative']"
27903,stephanie,"['patty', 'great', 'traveling', 'emergency', 'dog', 'homemade', 'diet', 'keep', 'hand', 'case', 'also', 'make', 'great', 'occasional', 'treat', 'since', 'dog', 'love']"
27934,david,"['purchased', 'product', 'christmas', 'gift', 'assumed', 'coming', 'bellagio', 'would', 'perfect', 'person', 'gave', 'tried', 'packet', 'gave', 'rest', 'away', 'said', 'smelled', 'great', 'tasted', 'chalky', 'wouldnt', 'drink']"
28050,stephanie,"['ordered', 'company', 'havent', 'failed', 'well', 'disappointed', 'craftsmanship', 'little', 'planter', 'vase', 'came', 'panda', 'poorly', 'painted', 'bamboo', 'tact', 'easy', 'transaction', 'speedy', 'delivery', 'faster', 'usual', 'regular', 'shipping', 'glad', 'friend', 'time', 'christmas', 'gift']"
28428,rebecca of amazon the rebecca review,"['love', 'green', 'impressed', 'green', 'powder', 'instruction', 'packet', 'ounce', 'cold', 'water', 'recommend', 'packet', 'packet', 'stevia', 'flavor', 'packet', 'fairly', 'mild', 'mild', 'fact', 'barely', 'taste', 'green', 'flavor', 'order', 'box', 'packet', 'packet', 'bottle', 'water', 'drink', 'cent', 'drink', 'free', 'shipping', 'ordered', 'book', 'think', 'fairly', 'reasonable', 'look', 'forward', 'trying', 'shake', 'fruit', 'juice', 'website', 'given', 'additional', 'recipe', 'interesting', 'recipe', 'like', 'one', 'white', 'chocolate', 'green', 'cream', 'green', 'papaya', 'nectar', 'green', 'sugar', 'cooky', 'probably', 'find', 'many', 'us', 'even', 'used', 'powder', 'make', 'lovely', 'packet', 'ounce', 'water', 'brewing', 'required', 'dissolve', 'easily', 'cold', 'water', 'highly', 'recommend', 'youbr', 'rebecca', 'review']"
28704,david,"['came', 'time', 'good', 'shape', 'slat', 'linking', 'would', 'soon']"
28760,gary peterson,"['bowl', 'split', 'soup', 'part', 'lunch', 'amys', 'organic', 'split', 'soup', 'quite', 'good', 'say', 'ingredient', 'list', 'must', 'sodium', 'hand', 'higher', 'like', 'fiber', 'content', 'good', 'taste', 'somewhat', 'bland', 'complaining', 'taste', 'food', 'vegan', 'product', 'added', 'preservative', 'gluten', 'free', 'product', 'like', 'great', 'appeal', 'restricted', 'diet', 'whatever', 'reason', 'relatively', 'pure', 'food', 'hard', 'findbr', 'gary', 'peterson']"
28906,jessica,"['used', 'cooking', 'taste', 'good', 'bottle', 'huge', 'price', 'worth']"
29079,gary peterson,"['nearby', 'fresh', 'easy', 'grocery', 'store', 'small', 'section', 'premium', 'soft', 'drink', 'really', 'good', 'recently', 'purchased', '4pack', 'izze', 'sparkling', 'blackberry', 'assortment', 'concentrated', 'fruit', 'juice', 'dominated', 'blackberry', 'added', 'carbonated', 'water', 'label', 'say', 'fruit', 'juice', 'average', 'fruitflavored', 'soda', 'folk', 'real', 'fruit', 'juice', 'added', 'sugar', 'taste', 'delicious', 'blackberry', 'stand', 'real', 'nicely', 'drink', 'natural', 'sugar', 'dont', 'sickening', 'sweet', 'taste', 'associate', 'many', 'cheaper', 'soft', 'drink', 'fact', 'drink', 'slight', 'sour', 'bite', 'pleasant', 'stuff', 'expensive', 'maybe', 'worth', 'personally', 'looking', 'forward', 'trying', 'varietiesbr', 'gary', 'peterson']"
29081,o brown ms o khannahbrown,"['izze', 'sparkling', 'blackberry', 'soda', 'isnt', 'exactly', 'soda', 'isnt', 'really', 'juiceits', 'healthy', 'alternative', 'drink', 'thats', 'combination', 'contains', 'lovely', 'medley', 'healthy', 'juice', 'without', 'sweetener', 'except', 'actual', 'juice', 'concentrate', 'fizz', 'refreshment', 'includes', 'sparkling', 'waterbr', 'juice', 'contains', 'white', 'grape', 'juice', 'apple', 'juice', 'blackberry', 'juice', 'lemon', 'raspberry', 'juice', 'concentrate', 'also', 'contains', 'sparkling', 'water', 'citric', 'acid', 'natural', 'flavor', 'grape', 'juice', 'concentrate', 'color', 'ascorbic', 'acid', 'vitamin', 'niacinimide', 'pyridoxine', 'hydrocholoride', 'vitamin', 'together', 'surprisingly', 'taste', 'exactly', 'like', 'blackberriesbr', 'izze', 'blackberry', 'sweet', 'light', 'thick', 'syrupy', 'adult', 'household', 'really', 'like', 'think', 'child', 'would', 'enjoy', 'really', 'nothing', 'like', 'healthy', 'juice', 'soda', 'alternative', 'beveragebr', 'highly', 'recommendedbr']"
29126,mike,"['wasabi', 'lover', 'want', 'like', 'cheap', 'version', 'peanut', 'little', 'green', 'horse', 'radish', 'flavor', 'sprinkled', 'lot', 'wasabi']"
29367,john,"['great', 'popcorn', 'great', 'price', 'learned', 'lesson', 'well', 'dont', 'bag', 'stove', 'hand', 'crank', 'popper', 'easy', 'splitting', 'content']"
29460,john,"['popcorn', 'maker', 'christmas', 'research', 'found', 'product', 'since', 'ordered', 'several', 'box', 'seems', 'always', 'popcorn', 'hand', 'sold']"
